League,Year,Season,Type,blueTeamLeague,blueTeamTag,bResult,rResult,redTeamTag,redTeamLeague,gamelength,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,blueBans,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,redBans
NALCS,2015,Spring,Season,NALCS,TSM,1,0,C9,NALCS,40,Dyrus,Irelia,Santorin,RekSai,Bjergsen,Ahri,WildTurtle,Jinx,Lustboy,Janna,"['Rumble', 'Kassadin', 'Lissandra']",Balls,Gnar,Meteos,Elise,Hai,Fizz,Sneaky,Sivir,LemonNation,Thresh,"['Tristana', 'Leblanc', 'Nidalee']"
NALCS,2015,Spring,Season,NALCS,CST,0,1,DIG,NALCS,38,Cris,Gnar,Impaler,Rengar,Jesiz,Ahri,Mash,Caitlyn,Sheep,Leona,"['Kassadin', 'Sivir', 'Lissandra']",Gamsu,Irelia,Crumbzz,JarvanIV,Shiphtur,Azir,CoreJJ,Corki,KiWiKiD,Annie,"['RekSai', 'Janna', 'Leblanc']"
NALCS,2015,Spring,Season,NALCS,WFX,1,0,GV,NALCS,40,Flaresz,Renekton,ShorterACE,Rengar,Pobelter,Fizz,Altec,Sivir,Gleeb,Annie,"['JarvanIV', 'Lissandra', 'Kassadin']",Hauntzer,Sion,Saintvicious,LeeSin,Keane,Azir,Cop,Corki,BunnyFuFuu,Janna,"['Leblanc', 'Zed', 'RekSai']"
NALCS,2015,Spring,Season,NALCS,TIP,0,1,TL,NALCS,41,Rhux,Irelia,Rush,JarvanIV,XiaoWeiXiao,Leblanc,Apollo,Sivir,Adrian,Thresh,"['Annie', 'Lissandra', 'Kassadin']",Quas,Gnar,IWDominate,Nunu,Fenix,Lulu,KEITH,KogMaw,Xpecial,Janna,"['RekSai', 'Rumble', 'LeeSin']"
NALCS,2015,Spring,Season,NALCS,CLG,1,0,T8,NALCS,35,Benny,Gnar,Xmithie,JarvanIV,Link,Lissandra,Doublelift,Tristana,aphromoo,Janna,"['Irelia', 'Pantheon', 'Kassadin']",CaliTrlolz8,Sion,Porpoise8,RekSai,Slooshi8,Lulu,Maplestreet8,Corki,Dodo8,Annie,"['Rumble', 'Sivir', 'Rengar']"
NALCS,2015,Spring,Season,NALCS,DIG,0,1,TIP,NALCS,24,Gamsu,Kassadin,Crumbzz,Rengar,Shiphtur,Leblanc,CoreJJ,Sivir,KiWiKiD,Annie,"['LeeSin', 'Rumble', 'Janna']",Rhux,Gnar,Rush,JarvanIV,XiaoWeiXiao,Lulu,Apollo,Corki,Adrian,Thresh,"['Azir', 'RekSai', 'Lissandra']"
NALCS,2015,Spring,Season,NALCS,CST,1,0,WFX,NALCS,39,Cris,Irelia,Impaler,JarvanIV,Jesiz,Xerath,Mash,Corki,Sheep,Janna,"['Zed', 'Sivir', 'Annie']",Flaresz,Renekton,ShorterACE,LeeSin,Pobelter,Leblanc,Altec,Tristana,Gleeb,Nami,"['RekSai', 'Gnar', 'Kassadin']"
NALCS,2015,Spring,Season,NALCS,TL,1,0,CLG,NALCS,43,Quas,Renekton,IWDominate,JarvanIV,FeniX,Azir,KEITH,Caitlyn,Xpecial,Annie,"['Lissandra', 'Janna', 'Kassadin']",Benny,Rumble,Xmithie,Rengar,Link,Leblanc,Doublelift,Sivir,Aphromoo,Blitzcrank,"['Nunu', 'Gnar', 'RekSai']"
NALCS,2015,Spring,Season,NALCS,C9,0,1,GV,NALCS,41,Balls,Sion,Meteos,RekSai,Hai,Orianna,Sneaky,KogMaw,LemonNation,Janna,"['JarvanIV', 'Gnar', 'Sivir']",Hauntzer,Kassadin,Saintvicious,Vi,Keane,Zed,Cop,Corki,Bunny FuFuu,Morgana,"['Rumble', 'Lissandra', 'Fizz']"
NALCS,2015,Spring,Season,NALCS,T8,1,0,TSM,NALCS,32,CaliTrlolz8,Irelia,Porpoise8,Nocturne,Slooshi8,Orianna,Maplestreet8,Sivir,Dodo8,Nami,"['Rumble', 'Janna', 'Kassadin']",Dyrus,Gnar,Santorin,Rengar,Bjergsen,Leblanc,WildTurtle,Graves,Lustboy,Morgana,"['RekSai', 'JarvanIV', 'Lissandra']"
